"ESTADO","m15p","m15s","m16p","m16s","m17p","m17s","m18p","m18s","m19p","m19s","m20p","m20s","m21p","m21s","m22p","m22s","m23p","m23s","m24p","m24s","m25p","m25s","m26p","m26s","m27p","m27s","m28p","m28s","m29p","m29s","m30p","m30s","m31p","m31s","a1p","a1s","a2p","a2s","a3p","a3s","a4p","a4s","a5p","a5s","a6p","a6s","a7p","a7s","a8p","a8s","a9p","a9s","a10p","a10s","a11p","a11s","a12p","a12s","a13p","a13s"
"MICH",0,0,0,0,0,3,0,2,0,10,0,16,0,11,3,11,7,10,8,14,10,24,11,36,16,41,17,48,17,63,17,65,21,70,24,61,24,71,24,71,29,67,30,49,33,82,34,134,36,181,46,195,46,170,50,139,61,117,62,142
"MOR",0,0,0,1,0,1,0,1,0,4,2,10,2,6,2,2,2,2,2,13,2,13,4,21,4,26,4,25,6,17,6,16,7,34,9,36,9,31,12,31,14,62,15,45,17,57,24,51,26,62,35,56,35,74,40,72,44,70,49,73
"NAY",0,0,0,0,0,1,0,2,0,3,0,3,1,1,1,1,1,1,1,3,4,3,4,8,5,14,5,15,5,18,6,13,6,19,8,20,8,27,8,27,9,33,9,18,10,27,10,37,12,40,16,41,19,40,21,33,22,31,25,36
"NL",5,21,13,2,14,1,19,8,19,35,29,1,32,5,35,0,40,6,52,1,52,75,57,103,64,43,64,66,67,130,75,161,76,148,78,109,84,80,85,80,88,165,91,203,93,142,93,333,98,551,107,687,110,997,119,1342,124,1552,132,1727
"OAX",2,2,2,2,2,6,2,1,2,8,2,7,2,0,3,2,4,0,4,10,7,11,8,24,11,33,12,36,14,25,14,30,14,50,22,25,22,46,22,46,22,56,25,30,27,81,35,61,37,76,40,81,41,76,43,58,43,47,44,57
"PUE",6,2,8,2,9,3,9,10,11,17,14,18,16,33,16,40,16,42,22,38,34,66,45,68,51,96,52,105,66,70,76,88,81,121,97,103,100,122,109,122,125,220,147,199,156,222,179,262,183,340,198,409,214,399,243,308,256,253,269,256
"QRO",6,11,7,10,7,8,7,5,9,10,11,17,14,9,14,16,16,25,16,31,18,41,21,46,23,54,25,56,26,47,27,43,29,61,29,67,32,67,35,67,36,59,38,37,40,48,45,58,47,68,50,73,55,61,57,67,61,51,61,77
"QROO",1,7,4,9,4,19,6,12,6,29,11,23,12,27,12,38,21,19,22,20,22,30,29,37,29,53,33,52,38,45,43,35,47,43,51,50,56,97,65,97,75,115,86,110,115,148,135,171,143,200,159,217,163,234,216,186,223,201,239,203
"SLP",2,3,2,8,2,7,3,16,7,9,7,14,9,17,12,24,16,21,16,23,17,31,18,45,19,59,20,61,24,78,25,65,25,83,31,74,33,104,35,104,35,125,37,111,37,154,41,187,43,156,47,169,48,165,51,159,53,145,55,101
"SIN",2,3,2,4,2,1,2,5,3,4,3,5,3,10,4,9,4,12,4,23,4,46,8,54,9,60,14,84,19,88,24,77,27,125,32,132,42,181,51,181,74,253,90,248,97,271,111,329,125,365,138,390,171,376,214,279,229,215,245,229
"SON",0,0,0,2,1,0,1,9,2,11,2,13,2,17,4,7,4,13,4,16,4,35,7,48,8,53,10,48,14,40,17,62,17,98,18,119,21,148,22,148,27,131,28,114,30,141,35,176,46,173,48,194,55,181,65,159,69,117,72,115
"TAB",0,0,0,1,0,1,1,0,1,0,2,11,4,17,5,21,6,18,6,29,6,53,17,46,21,76,27,109,33,129,38,130,48,178,52,233,62,277,73,277,83,352,97,342,107,331,108,293,112,362,113,360,134,317,143,310,153,299,156,336
"TAMP",0,0,0,1,1,2,2,2,2,5,2,8,3,3,4,4,5,3,5,9,6,13,6,17,6,23,6,33,7,29,8,32,8,54,9,61,13,70,16,70,20,83,26,67,31,82,32,111,43,102,46,126,48,122,49,142,53,125,53,134
"TLAX",0,1,0,0,0,0,0,0,0,2,0,5,0,10,0,12,0,6,0,13,1,15,1,35,4,46,4,41,4,37,4,51,4,64,5,66,5,76,8,76,9,71,11,72,14,75,18,83,23,92,29,94,34,96,38,93,40,85,49,79
"VER",0,8,0,8,0,8,2,20,2,25,4,30,7,24,7,27,7,28,7,42,7,69,7,130,17,161,23,171,24,161,26,188,27,266,28,305,29,353,35,353,37,430,40,404,41,412,46,429,49,395,54,443,63,406,73,419,78,387,82,381
"YUC",1,1,4,8,5,4,8,8,13,0,13,10,14,11,19,3,19,8,24,16,29,16,32,18,36,19,38,10,41,25,46,18,49,25,52,34,53,72,59,72,62,61,67,68,72,64,74,88,74,148,88,170,88,129,103,95,107,74,114,96
"ZAC",0,0,0,1,0,2,0,0,0,4,0,2,1,7,2,6,3,4,3,9,3,28,4,32,4,60,4,60,5,53,6,34,6,26,6,39,7,34,7,34,10,45,10,45,9,39,10,48,11,45,11,61,14,49,14,46,15,43,16,51
